Taxon,CominedColorState
Peic_ARARA,4
Peic_BAHIA,4
Peic_CHADI,4
Peic_DISFE,4
Peic_GOCEN,4
Peic_HYPER,(0 3 6)
Peic_PNPER,4
Peic_TRIAN,4
Pkey_ESCEN,8
Pkey_ESSOU,8
Pkey_ITATI,8
Pkey_JUREI,8
Pkey_LAGOS,8
Pkey_MOELA,8
Pkey_PARSO,8
Pkey_RIORJ,8
Pkey_SCNOR,8
Pkey_SCSOU,8
Pkey_UBATU,8
Pnig_BELOH,5
Pnig_CRIST,5
Pnig_GOEST,5
Pnig_GONOR,5
Pnig_IBITI,5
Pnig_ITATI,5
Pnig_LAVRA,5
Pnig_POARS,5
Pnig_SJCAM,5
Pnig_SOROC,5
Pnig_TRIAN,5
Pnig_TURVO,5
Pper_BELOH,0
Pper_JUIZF,0
Pper_LINHA,0
Pper_PARSO,0
Pper_SANTE,0
Pper_SIMON,0
